date,start,end,11WD8MOOR1C---BT,11WD8MOOR1C---AV
19012019,16:00,17:00,744,754
19012019,17:00,18:00,744,755
19012019,18:00,19:00,744,765
19012019,19:00,20:00,744,765
19012019,20:00,21:00,745,754
19012019,21:00,22:00,744,764
19012019,22:00,23:00,745,766
19012019,23:00,00:00,745,766
20012019,00:00,01:00,745,766
20012019,01:00,02:00,744,766
20012019,02:00,03:00,744,767
20012019,03:00,04:00,744,766
20012019,04:00,05:00,745,766
20012019,05:00,06:00,744,761
20012019,06:00,07:00,745,760
20012019,07:00,08:00,746,764
20012019,08:00,09:00,746,763
20012019,09:00,10:00,746,763
20012019,10:00,11:00,745,761
20012019,11:00,12:00,744,764
20012019,12:00,13:00,745,764
20012019,13:00,14:00,745,764
20012019,14:00,15:00,744,764
20012019,15:00,16:00,745,763
20012019,16:00,17:00,745,764
20012019,17:00,18:00,744,764
20012019,18:00,19:00,745,764
20012019,19:00,20:00,746,765
20012019,20:00,21:00,746,765
20012019,21:00,22:00,746,765
20012019,22:00,23:00,746,765
20012019,23:00,00:00,746,766
21012019,00:00,01:00,746,766
21012019,01:00,02:00,746,767
21012019,02:00,03:00,746,766
21012019,03:00,04:00,746,756
21012019,04:00,05:00,746,747
21012019,05:00,06:00,746,725
21012019,06:00,07:00,744,765
21012019,07:00,08:00,745,766
21012019,08:00,09:00,745,765
21012019,09:00,10:00,744,765
21012019,10:00,11:00,743,764
21012019,11:00,12:00,743,764
21012019,12:00,13:00,743,764
21012019,13:00,14:00,743,763
21012019,14:00,15:00,744,763
21012019,15:00,16:00,744,763
21012019,16:00,17:00,744,762
21012019,17:00,18:00,744,763
21012019,18:00,19:00,744,763
21012019,19:00,20:00,743,763
21012019,20:00,21:00,744,763
21012019,21:00,22:00,744,763
21012019,22:00,23:00,744,764
21012019,23:00,00:00,745,764
22012019,00:00,01:00,745,761
22012019,01:00,02:00,733,733
22012019,02:00,03:00,745,762
22012019,03:00,04:00,745,763
22012019,04:00,05:00,745,763
22012019,05:00,06:00,745,763
22012019,06:00,07:00,744,760
22012019,07:00,08:00,731,743
22012019,08:00,09:00,745,763
22012019,09:00,10:00,744,763
22012019,10:00,11:00,743,762
22012019,11:00,12:00,744,763
22012019,12:00,13:00,744,762
22012019,13:00,14:00,745,762
22012019,14:00,15:00,745,762
22012019,15:00,16:00,745,762
22012019,16:00,17:00,744,763
22012019,17:00,18:00,743,763
22012019,18:00,19:00,744,764
22012019,19:00,20:00,745,764
22012019,20:00,21:00,744,764
22012019,21:00,22:00,745,763
22012019,22:00,23:00,745,763
22012019,23:00,00:00,745,764
23012019,00:00,01:00,744,765
23012019,01:00,02:00,744,763
23012019,02:00,03:00,743,764
23012019,03:00,04:00,745,764
23012019,04:00,05:00,745,765
23012019,05:00,06:00,744,764
23012019,06:00,07:00,733,755
23012019,07:00,08:00,733,760
23012019,08:00,09:00,733,759
23012019,09:00,10:00,736,760
23012019,10:00,11:00,740,760
23012019,11:00,12:00,740,759
23012019,12:00,13:00,740,759
23012019,13:00,14:00,739,764
23012019,14:00,15:00,739,764
23012019,15:00,16:00,739,764
23012019,16:00,17:00,739,764
23012019,17:00,18:00,739,764
23012019,18:00,19:00,739,764
23012019,19:00,20:00,739,763
23012019,20:00,21:00,739,764
23012019,21:00,22:00,739,764
