date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
24112018,07:00,08:00,112,109,104
24112018,08:00,09:00,112,109,112
24112018,09:00,10:00,112,110,111
24112018,10:00,11:00,111,111,104
24112018,11:00,12:00,111,110,97
24112018,12:00,13:00,111,108,93
24112018,13:00,14:00,110,108,98
24112018,14:00,15:00,111,108,100
24112018,15:00,16:00,110,108,103
24112018,16:00,17:00,110,109,111
24112018,17:00,18:00,111,109,115
24112018,18:00,19:00,111,110,115
24112018,19:00,20:00,111,110,115
24112018,20:00,21:00,112,110,109
24112018,21:00,22:00,112,110,100
24112018,22:00,23:00,110,104,78
24112018,23:00,00:00,87,88,68
25112018,00:00,01:00,82,83,66
25112018,01:00,02:00,82,83,65
25112018,02:00,03:00,82,83,65
25112018,03:00,04:00,82,83,66
25112018,04:00,05:00,93,95,71
25112018,05:00,06:00,104,106,84
25112018,06:00,07:00,105,106,87
25112018,07:00,08:00,105,108,89
25112018,08:00,09:00,105,108,93
25112018,09:00,10:00,105,106,99
25112018,10:00,11:00,105,106,98
25112018,11:00,12:00,105,106,92
25112018,12:00,13:00,105,106,93
25112018,13:00,14:00,105,106,91
25112018,14:00,15:00,105,106,87
25112018,15:00,16:00,106,106,88
25112018,16:00,17:00,105,109,108
25112018,17:00,18:00,105,109,115
25112018,18:00,19:00,104,109,115
25112018,19:00,20:00,104,109,109
25112018,20:00,21:00,105,108,106
25112018,21:00,22:00,105,108,101
25112018,22:00,23:00,105,109,95
25112018,23:00,00:00,106,105,84
26112018,00:00,01:00,108,105,83
26112018,01:00,02:00,100,98,83
26112018,02:00,03:00,92,91,80
26112018,03:00,04:00,88,92,79
26112018,04:00,05:00,92,95,83
26112018,05:00,06:00,107,105,102
26112018,06:00,07:00,107,105,101
26112018,07:00,08:00,111,108,114
26112018,08:00,09:00,110,108,117
26112018,09:00,10:00,110,108,113
26112018,10:00,11:00,111,108,106
26112018,11:00,12:00,111,108,109
26112018,12:00,13:00,111,108,110
26112018,13:00,14:00,111,108,109
26112018,14:00,15:00,111,108,111
