date,start,end,11WD7VOER1S--A-1,11WD7VOER1S--B-Z
18.01.2017,20:00,21:00,451.0,402.0
18.01.2017,21:00,22:00,449.0,427.0
18.01.2017,22:00,23:00,450.0,401.0
18.01.2017,23:00,00:00,450.0,400.0
19.01.2017,00:00,01:00,428.0,379.0
19.01.2017,01:00,02:00,436.0,464.0
19.01.2017,02:00,03:00,460.0,396.0
19.01.2017,03:00,04:00,431.0,414.0
19.01.2017,04:00,05:00,500.0,547.0
19.01.2017,05:00,06:00,464.0,508.0
19.01.2017,06:00,07:00,625.0,691.0
19.01.2017,07:00,08:00,645.0,704.0
19.01.2017,08:00,09:00,645.0,704.0
19.01.2017,09:00,10:00,645.0,705.0
19.01.2017,10:00,11:00,646.0,704.0
19.01.2017,11:00,12:00,646.0,706.0
19.01.2017,12:00,13:00,646.0,705.0
19.01.2017,13:00,14:00,647.0,705.0
19.01.2017,14:00,15:00,646.0,702.0
19.01.2017,15:00,16:00,646.0,706.0
19.01.2017,16:00,17:00,646.0,709.0
19.01.2017,17:00,18:00,646.0,709.0
19.01.2017,18:00,19:00,646.0,707.0
19.01.2017,19:00,20:00,647.0,706.0
19.01.2017,20:00,21:00,647.0,706.0
19.01.2017,21:00,22:00,647.0,705.0
19.01.2017,22:00,23:00,646.0,704.0
19.01.2017,23:00,00:00,640.0,703.0
20.01.2017,00:00,01:00,535.0,569.0
20.01.2017,01:00,02:00,418.0,478.0
20.01.2017,02:00,03:00,419.0,478.0
20.01.2017,03:00,04:00,419.0,478.0
20.01.2017,04:00,05:00,420.0,479.0
20.01.2017,05:00,06:00,491.0,478.0
20.01.2017,06:00,07:00,608.0,585.0
20.01.2017,07:00,08:00,645.0,704.0
20.01.2017,08:00,09:00,646.0,707.0
20.01.2017,09:00,10:00,646.0,705.0
20.01.2017,10:00,11:00,645.0,705.0
20.01.2017,11:00,12:00,646.0,705.0
20.01.2017,12:00,13:00,646.0,705.0
20.01.2017,13:00,14:00,646.0,705.0
20.01.2017,14:00,15:00,646.0,705.0
20.01.2017,15:00,16:00,647.0,707.0
20.01.2017,16:00,17:00,646.0,708.0
20.01.2017,17:00,18:00,644.0,705.0
20.01.2017,18:00,19:00,645.0,704.0
20.01.2017,19:00,20:00,646.0,703.0
20.01.2017,20:00,21:00,614.0,675.0
20.01.2017,21:00,22:00,419.0,473.0
20.01.2017,22:00,23:00,421.0,481.0
20.01.2017,23:00,00:00,342.0,400.0
21.01.2017,00:00,01:00,311.0,370.0
21.01.2017,01:00,02:00,311.0,371.0
21.01.2017,02:00,03:00,310.0,370.0
21.01.2017,03:00,04:00,311.0,370.0
21.01.2017,04:00,05:00,317.0,376.0
21.01.2017,05:00,06:00,560.0,624.0
21.01.2017,06:00,07:00,629.0,703.0
21.01.2017,07:00,08:00,574.0,635.0
21.01.2017,08:00,09:00,644.0,705.0
21.01.2017,09:00,10:00,643.0,706.0
21.01.2017,10:00,11:00,643.0,705.0
21.01.2017,11:00,12:00,646.0,705.0
21.01.2017,12:00,13:00,646.0,689.0
21.01.2017,13:00,14:00,645.0,638.0
21.01.2017,14:00,15:00,645.0,699.0
21.01.2017,15:00,16:00,646.0,704.0
21.01.2017,16:00,17:00,645.0,703.0
21.01.2017,17:00,18:00,645.0,704.0
21.01.2017,18:00,19:00,646.0,704.0
21.01.2017,19:00,20:00,645.0,704.0
21.01.2017,20:00,21:00,646.0,705.0
21.01.2017,21:00,22:00,646.0,703.0
21.01.2017,22:00,23:00,645.0,703.0
21.01.2017,23:00,00:00,646.0,706.0
22.01.2017,00:00,01:00,392.0,440.0
22.01.2017,01:00,02:00,155.0,194.0
22.01.2017,02:00,03:00,121.0,168.0
22.01.2017,03:00,04:00,121.0,167.0
22.01.2017,04:00,05:00,120.0,167.0
22.01.2017,05:00,06:00,121.0,168.0
22.01.2017,06:00,07:00,121.0,169.0
22.01.2017,07:00,08:00,121.0,169.0
22.01.2017,08:00,09:00,202.0,250.0
22.01.2017,09:00,10:00,457.0,622.0
22.01.2017,10:00,11:00,544.0,557.0
22.01.2017,11:00,12:00,616.0,626.0
22.01.2017,12:00,13:00,303.0,302.0
22.01.2017,13:00,14:00,125.0,178.0
22.01.2017,14:00,15:00,137.0,294.0
22.01.2017,15:00,16:00,328.0,400.0
22.01.2017,16:00,17:00,640.0,697.0
22.01.2017,17:00,18:00,642.0,705.0
22.01.2017,18:00,19:00,645.0,704.0
22.01.2017,19:00,20:00,646.0,703.0
22.01.2017,20:00,21:00,646.0,706.0
22.01.2017,21:00,22:00,646.0,706.0
22.01.2017,22:00,23:00,645.0,705.0
22.01.2017,23:00,00:00,645.0,704.0
23.01.2017,00:00,01:00,616.0,675.0
23.01.2017,01:00,02:00,483.0,544.0
