date,start,end,11WD2NOR20001055
24012018,23:00,00:00,135
25012018,00:00,01:00,118
25012018,01:00,02:00,106
25012018,02:00,03:00,104
25012018,03:00,04:00,100
25012018,04:00,05:00,116
25012018,05:00,06:00,165
25012018,06:00,07:00,177
25012018,07:00,08:00,197
25012018,08:00,09:00,216
25012018,09:00,10:00,208
25012018,10:00,11:00,204
25012018,11:00,12:00,205
25012018,12:00,13:00,223
25012018,13:00,14:00,219
25012018,14:00,15:00,211
25012018,15:00,16:00,210
25012018,16:00,17:00,247
25012018,17:00,18:00,260
25012018,18:00,19:00,255
25012018,19:00,20:00,209
25012018,20:00,21:00,161
25012018,21:00,22:00,148
25012018,22:00,23:00,135
25012018,23:00,00:00,134
26012018,00:00,01:00,151
26012018,01:00,02:00,151
26012018,02:00,03:00,154
26012018,03:00,04:00,182
26012018,04:00,05:00,184
26012018,05:00,06:00,218
26012018,06:00,07:00,231
26012018,07:00,08:00,230
26012018,08:00,09:00,232
26012018,09:00,10:00,238
26012018,10:00,11:00,247
26012018,11:00,12:00,250
26012018,12:00,13:00,241
26012018,13:00,14:00,236
26012018,14:00,15:00,253
26012018,15:00,16:00,256
26012018,16:00,17:00,261
26012018,17:00,18:00,258
26012018,18:00,19:00,258
26012018,19:00,20:00,200
26012018,20:00,21:00,229
26012018,21:00,22:00,190
26012018,22:00,23:00,191
26012018,23:00,00:00,169
27012018,00:00,01:00,141
27012018,01:00,02:00,140
27012018,02:00,03:00,133
27012018,03:00,04:00,145
27012018,04:00,05:00,150
27012018,05:00,06:00,161
27012018,06:00,07:00,166
27012018,07:00,08:00,186
27012018,08:00,09:00,219
27012018,09:00,10:00,215
27012018,10:00,11:00,205
27012018,11:00,12:00,218
27012018,12:00,13:00,208
27012018,13:00,14:00,184
27012018,14:00,15:00,179
27012018,15:00,16:00,153
27012018,16:00,17:00,193
27012018,17:00,18:00,220
27012018,18:00,19:00,192
27012018,19:00,20:00,199
27012018,20:00,21:00,199
27012018,21:00,22:00,169
27012018,22:00,23:00,153
27012018,23:00,00:00,131
28012018,00:00,01:00,126
28012018,01:00,02:00,109
28012018,02:00,03:00,101
28012018,03:00,04:00,90
28012018,04:00,05:00,95
28012018,05:00,06:00,98
28012018,06:00,07:00,97
28012018,07:00,08:00,121
28012018,08:00,09:00,151
28012018,09:00,10:00,160
28012018,10:00,11:00,151
28012018,11:00,12:00,163
