date,start,end,11WD2HEY40000638
5022020,01:00,02:00,0
5022020,02:00,03:00,0
5022020,03:00,04:00,0
5022020,04:00,05:00,0
5022020,05:00,06:00,0
5022020,06:00,07:00,0
5022020,07:00,08:00,0
5022020,08:00,09:00,0
5022020,09:00,10:00,0
5022020,10:00,11:00,0
5022020,11:00,12:00,0
5022020,12:00,13:00,0
5022020,13:00,14:00,0
5022020,14:00,15:00,0
5022020,15:00,16:00,0
5022020,16:00,17:00,0
5022020,17:00,18:00,0
5022020,18:00,19:00,0
5022020,19:00,20:00,0
5022020,20:00,21:00,0
5022020,21:00,22:00,0
5022020,22:00,23:00,0
5022020,23:00,00:00,0
6022020,00:00,01:00,0
6022020,01:00,02:00,0
6022020,02:00,03:00,0
6022020,03:00,04:00,0
6022020,04:00,05:00,0
6022020,05:00,06:00,0
6022020,06:00,07:00,0
6022020,07:00,08:00,0
6022020,08:00,09:00,0
6022020,09:00,10:00,0
6022020,10:00,11:00,0
6022020,11:00,12:00,0
6022020,12:00,13:00,0
6022020,13:00,14:00,0
6022020,14:00,15:00,0
6022020,15:00,16:00,0
6022020,16:00,17:00,0
6022020,17:00,18:00,0
6022020,18:00,19:00,0
6022020,19:00,20:00,0
6022020,20:00,21:00,0
6022020,21:00,22:00,0
6022020,22:00,23:00,0
6022020,23:00,00:00,0
7022020,00:00,01:00,0
7022020,01:00,02:00,0
7022020,02:00,03:00,0
7022020,03:00,04:00,0
7022020,04:00,05:00,0
7022020,05:00,06:00,0
7022020,06:00,07:00,0
7022020,07:00,08:00,0
7022020,08:00,09:00,0
7022020,09:00,10:00,0
7022020,10:00,11:00,0
7022020,11:00,12:00,0
7022020,12:00,13:00,0
7022020,13:00,14:00,0
7022020,14:00,15:00,0
7022020,15:00,16:00,0
7022020,16:00,17:00,0
7022020,17:00,18:00,0
7022020,18:00,19:00,0
7022020,19:00,20:00,0
7022020,20:00,21:00,0
7022020,21:00,22:00,0
7022020,22:00,23:00,0
7022020,23:00,00:00,0
8022020,00:00,01:00,0
8022020,01:00,02:00,0
8022020,02:00,03:00,0
8022020,03:00,04:00,0
8022020,04:00,05:00,0
8022020,05:00,06:00,0
8022020,06:00,07:00,0
8022020,07:00,08:00,0
8022020,08:00,09:00,0
8022020,09:00,10:00,0
8022020,10:00,11:00,0
8022020,11:00,12:00,0
8022020,12:00,13:00,0
8022020,13:00,14:00,0
8022020,14:00,15:00,0
8022020,15:00,16:00,0
8022020,16:00,17:00,0
8022020,17:00,18:00,0
8022020,18:00,19:00,0
8022020,19:00,20:00,0
8022020,20:00,21:00,0
8022020,21:00,22:00,0
8022020,22:00,23:00,0
8022020,23:00,00:00,0
9022020,00:00,01:00,0
9022020,01:00,02:00,0
9022020,02:00,03:00,0
9022020,03:00,04:00,0
9022020,04:00,05:00,0
9022020,05:00,06:00,0
9022020,06:00,07:00,0
9022020,07:00,08:00,0
9022020,08:00,09:00,0
