date,start,end,11WD2STA4000065N
30012016,17:00,18:00,478
30012016,18:00,19:00,477
30012016,19:00,20:00,477
30012016,20:00,21:00,432
30012016,21:00,22:00,289
30012016,22:00,23:00,240
30012016,23:00,00:00,240
31012016,00:00,01:00,33
31012016,01:00,02:00,0
31012016,02:00,03:00,0
31012016,03:00,04:00,0
31012016,04:00,05:00,0
31012016,05:00,06:00,0
31012016,06:00,07:00,0
31012016,07:00,08:00,0
31012016,08:00,09:00,0
31012016,09:00,10:00,0
31012016,10:00,11:00,0
31012016,11:00,12:00,0
31012016,12:00,13:00,0
31012016,13:00,14:00,0
31012016,14:00,15:00,0
31012016,15:00,16:00,0
31012016,16:00,17:00,0
31012016,17:00,18:00,0
31012016,18:00,19:00,0
31012016,19:00,20:00,0
31012016,20:00,21:00,0
31012016,21:00,22:00,0
31012016,22:00,23:00,0
31012016,23:00,00:00,0
1022016,00:00,01:00,10
1022016,01:00,02:00,146
1022016,02:00,03:00,200
1022016,03:00,04:00,264
1022016,04:00,05:00,256
1022016,05:00,06:00,266
1022016,06:00,07:00,365
1022016,07:00,08:00,474
1022016,08:00,09:00,478
1022016,09:00,10:00,481
1022016,10:00,11:00,481
1022016,11:00,12:00,466
1022016,12:00,13:00,260
1022016,13:00,14:00,341
1022016,14:00,15:00,366
1022016,15:00,16:00,275
1022016,16:00,17:00,288
1022016,17:00,18:00,342
1022016,18:00,19:00,352
1022016,19:00,20:00,400
1022016,20:00,21:00,280
1022016,21:00,22:00,238
1022016,22:00,23:00,228
1022016,23:00,00:00,229
2022016,00:00,01:00,229
2022016,01:00,02:00,229
2022016,02:00,03:00,229
2022016,03:00,04:00,228
2022016,04:00,05:00,229
2022016,05:00,06:00,230
2022016,06:00,07:00,230
2022016,07:00,08:00,230
2022016,08:00,09:00,228
2022016,09:00,10:00,228
2022016,10:00,11:00,229
2022016,11:00,12:00,228
2022016,12:00,13:00,228
2022016,13:00,14:00,229
2022016,14:00,15:00,265
2022016,15:00,16:00,301
2022016,16:00,17:00,345
2022016,17:00,18:00,435
2022016,18:00,19:00,478
2022016,19:00,20:00,443
2022016,20:00,21:00,432
2022016,21:00,22:00,345
2022016,22:00,23:00,260
2022016,23:00,00:00,230
3022016,00:00,01:00,197
3022016,01:00,02:00,196
3022016,02:00,03:00,197
3022016,03:00,04:00,196
3022016,04:00,05:00,196
3022016,05:00,06:00,216
3022016,06:00,07:00,268
3022016,07:00,08:00,479
3022016,08:00,09:00,478
3022016,09:00,10:00,481
3022016,10:00,11:00,456
3022016,11:00,12:00,371
3022016,12:00,13:00,341
3022016,13:00,14:00,432
3022016,14:00,15:00,467
3022016,15:00,16:00,425
3022016,16:00,17:00,463
3022016,17:00,18:00,484
