date,start,end,11WD2S2610001015,11WD2S262000102W,11WD2S260000100F
23042019,13:00,14:00,92,94,72
23042019,14:00,15:00,95,96,76
23042019,15:00,16:00,98,100,78
23042019,16:00,17:00,69,70,69
23042019,17:00,18:00,68,69,64
23042019,18:00,19:00,96,97,73
23042019,19:00,20:00,100,102,81
23042019,20:00,21:00,94,95,78
23042019,21:00,22:00,68,69,68
23042019,22:00,23:00,78,60,63
23042019,23:00,00:00,103,0,37
24042019,00:00,01:00,88,0,34
24042019,01:00,02:00,84,0,33
24042019,02:00,03:00,85,0,33
24042019,03:00,04:00,74,0,32
24042019,04:00,05:00,73,32,42
24042019,05:00,06:00,93,92,77
24042019,06:00,07:00,102,104,79
24042019,07:00,08:00,92,94,76
24042019,08:00,09:00,101,102,80
24042019,09:00,10:00,77,79,72
24042019,10:00,11:00,80,81,73
24042019,11:00,12:00,86,84,74
24042019,12:00,13:00,87,84,75
24042019,13:00,14:00,72,75,72
24042019,14:00,15:00,62,64,66
24042019,15:00,16:00,57,59,58
24042019,16:00,17:00,57,59,57
24042019,17:00,18:00,57,59,57
24042019,18:00,19:00,57,59,57
24042019,19:00,20:00,61,62,58
24042019,20:00,21:00,89,90,70
24042019,21:00,22:00,59,50,59
24042019,22:00,23:00,78,0,35
24042019,23:00,00:00,78,0,35
25042019,00:00,01:00,75,0,34
25042019,01:00,02:00,83,0,34
25042019,02:00,03:00,104,0,36
25042019,03:00,04:00,99,0,35
25042019,04:00,05:00,81,38,45
25042019,05:00,06:00,75,72,65
25042019,06:00,07:00,100,89,68
25042019,07:00,08:00,106,111,73
25042019,08:00,09:00,102,108,73
25042019,09:00,10:00,99,103,75
25042019,10:00,11:00,88,99,75
25042019,11:00,12:00,95,99,75
25042019,12:00,13:00,97,99,76
25042019,13:00,14:00,96,98,76
25042019,14:00,15:00,97,99,76
25042019,15:00,16:00,96,97,75
25042019,16:00,17:00,92,94,74
25042019,17:00,18:00,95,95,75
25042019,18:00,19:00,98,101,77
25042019,19:00,20:00,99,102,79
25042019,20:00,21:00,100,103,80
25042019,21:00,22:00,85,63,67
25042019,22:00,23:00,91,0,36
25042019,23:00,00:00,76,0,33
26042019,00:00,01:00,70,0,32
