date,start,end,11WD4HLBR1C7---4
28012018,04:00,05:00,0
28012018,05:00,06:00,0
28012018,06:00,07:00,0
28012018,07:00,08:00,0
28012018,08:00,09:00,0
28012018,09:00,10:00,0
28012018,10:00,11:00,0
28012018,11:00,12:00,0
28012018,12:00,13:00,0
28012018,13:00,14:00,0
28012018,14:00,15:00,0
28012018,15:00,16:00,0
28012018,16:00,17:00,0
28012018,17:00,18:00,0
28012018,18:00,19:00,0
28012018,19:00,20:00,0
28012018,20:00,21:00,0
28012018,21:00,22:00,0
28012018,22:00,23:00,0
28012018,23:00,00:00,0
29012018,00:00,01:00,0
29012018,01:00,02:00,0
29012018,02:00,03:00,0
29012018,03:00,04:00,0
29012018,04:00,05:00,0
29012018,05:00,06:00,0
29012018,06:00,07:00,0
29012018,07:00,08:00,0
29012018,08:00,09:00,0
29012018,09:00,10:00,0
29012018,10:00,11:00,0
29012018,11:00,12:00,0
29012018,12:00,13:00,0
29012018,13:00,14:00,0
29012018,14:00,15:00,0
29012018,15:00,16:00,0
29012018,16:00,17:00,0
29012018,17:00,18:00,0
29012018,18:00,19:00,0
29012018,19:00,20:00,0
29012018,20:00,21:00,0
29012018,21:00,22:00,0
29012018,22:00,23:00,0
29012018,23:00,00:00,0
30012018,00:00,01:00,0
30012018,01:00,02:00,0
30012018,02:00,03:00,0
30012018,03:00,04:00,104
30012018,04:00,05:00,300
30012018,05:00,06:00,387
30012018,06:00,07:00,485
30012018,07:00,08:00,630
30012018,08:00,09:00,717
30012018,09:00,10:00,737
30012018,10:00,11:00,740
30012018,11:00,12:00,738
30012018,12:00,13:00,736
30012018,13:00,14:00,729
30012018,14:00,15:00,723
30012018,15:00,16:00,733
30012018,16:00,17:00,721
30012018,17:00,18:00,718
30012018,18:00,19:00,722
30012018,19:00,20:00,736
30012018,20:00,21:00,733
30012018,21:00,22:00,734
30012018,22:00,23:00,599
30012018,23:00,00:00,308
31012018,00:00,01:00,0
31012018,01:00,02:00,0
31012018,02:00,03:00,0
31012018,03:00,04:00,0
31012018,04:00,05:00,0
31012018,05:00,06:00,0
31012018,06:00,07:00,0
31012018,07:00,08:00,0
31012018,08:00,09:00,0
31012018,09:00,10:00,0
31012018,10:00,11:00,0
31012018,11:00,12:00,0
31012018,12:00,13:00,0
31012018,13:00,14:00,0
31012018,14:00,15:00,0
31012018,15:00,16:00,0
31012018,16:00,17:00,0
31012018,17:00,18:00,0
31012018,18:00,19:00,0
31012018,19:00,20:00,0
31012018,20:00,21:00,0
31012018,21:00,22:00,0
31012018,22:00,23:00,0
31012018,23:00,00:00,0
1022018,00:00,01:00,0
1022018,01:00,02:00,0
1022018,02:00,03:00,0
1022018,03:00,04:00,0
1022018,04:00,05:00,0
1022018,05:00,06:00,0
1022018,06:00,07:00,0
1022018,07:00,08:00,0
1022018,08:00,09:00,0
1022018,09:00,10:00,0
1022018,10:00,11:00,0
1022018,11:00,12:00,0
1022018,12:00,13:00,0
1022018,13:00,14:00,0
1022018,14:00,15:00,0
1022018,15:00,16:00,0
1022018,16:00,17:00,0
1022018,17:00,18:00,0
1022018,18:00,19:00,0
1022018,19:00,20:00,0
1022018,20:00,21:00,0
1022018,21:00,22:00,0
1022018,22:00,23:00,0
1022018,23:00,00:00,0
2022018,00:00,01:00,0
2022018,01:00,02:00,0
2022018,02:00,03:00,0
2022018,03:00,04:00,0
2022018,04:00,05:00,147
2022018,05:00,06:00,321
2022018,06:00,07:00,337
2022018,07:00,08:00,469
2022018,08:00,09:00,674
2022018,09:00,10:00,713
2022018,10:00,11:00,722
2022018,11:00,12:00,728
2022018,12:00,13:00,720
2022018,13:00,14:00,726
2022018,14:00,15:00,728
2022018,15:00,16:00,741
2022018,16:00,17:00,740
2022018,17:00,18:00,743
2022018,18:00,19:00,742
2022018,19:00,20:00,744
2022018,20:00,21:00,745
2022018,21:00,22:00,745
2022018,22:00,23:00,592
2022018,23:00,00:00,338
3022018,00:00,01:00,331
3022018,01:00,02:00,329
3022018,02:00,03:00,330
3022018,03:00,04:00,329
3022018,04:00,05:00,330
3022018,05:00,06:00,331
3022018,06:00,07:00,331
3022018,07:00,08:00,384
3022018,08:00,09:00,606
3022018,09:00,10:00,704
3022018,10:00,11:00,698
3022018,11:00,12:00,702
3022018,12:00,13:00,704
3022018,13:00,14:00,706
3022018,14:00,15:00,711
3022018,15:00,16:00,723
3022018,16:00,17:00,726
3022018,17:00,18:00,725
3022018,18:00,19:00,723
3022018,19:00,20:00,726
3022018,20:00,21:00,598
3022018,21:00,22:00,369
3022018,22:00,23:00,361
3022018,23:00,00:00,250
4022018,00:00,01:00,182
4022018,01:00,02:00,190
4022018,02:00,03:00,191
4022018,03:00,04:00,194
4022018,04:00,05:00,192
4022018,05:00,06:00,190
4022018,06:00,07:00,189
4022018,07:00,08:00,192
4022018,08:00,09:00,191
4022018,09:00,10:00,191
4022018,10:00,11:00,191
4022018,11:00,12:00,191
4022018,12:00,13:00,191
4022018,13:00,14:00,191
4022018,14:00,15:00,192
4022018,15:00,16:00,192
4022018,16:00,17:00,352
4022018,17:00,18:00,591
4022018,18:00,19:00,730
4022018,19:00,20:00,622
4022018,20:00,21:00,507
4022018,21:00,22:00,433
4022018,22:00,23:00,378
4022018,23:00,00:00,358
5022018,00:00,01:00,349
5022018,01:00,02:00,198
5022018,02:00,03:00,203
5022018,03:00,04:00,204
5022018,04:00,05:00,200
5022018,05:00,06:00,305
5022018,06:00,07:00,541
5022018,07:00,08:00,719
5022018,08:00,09:00,729
5022018,09:00,10:00,730
5022018,10:00,11:00,729
5022018,11:00,12:00,735
5022018,12:00,13:00,739
5022018,13:00,14:00,737
