Datum;Anfang;Ende;Generation_DE Kraftwerk Jänschwalde Block A [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block B [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block C [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block D [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block E [MW] Originalauflösungen;Generation_DE Kraftwerk Jänschwalde Block F [MW] Originalauflösungen
17.01.2020;15:00;16:00;500;433;497;496;-;-
17.01.2020;16:00;17:00;499;443;495;486;-;-
17.01.2020;17:00;18:00;503;442;497;495;-;-
17.01.2020;18:00;19:00;500;430;496;493;-;-
17.01.2020;19:00;20:00;493;421;490;484;-;-
17.01.2020;20:00;21:00;493;429;489;485;-;-
17.01.2020;21:00;22:00;494;424;488;477;-;-
17.01.2020;22:00;23:00;416;376;442;382;-;-
17.01.2020;23:00;00:00;406;381;436;370;-;-
18.01.2020;00:00;01:00;306;348;317;301;-;-
18.01.2020;01:00;02:00;301;348;303;301;-;-
18.01.2020;02:00;03:00;303;364;301;301;-;-
18.01.2020;03:00;04:00;302;367;301;300;-;-
18.01.2020;04:00;05:00;302;369;302;300;-;-
18.01.2020;05:00;06:00;303;368;301;300;-;-
18.01.2020;06:00;07:00;306;372;307;301;-;-
18.01.2020;07:00;08:00;425;410;450;370;-;-
18.01.2020;08:00;09:00;445;423;475;395;-;-
18.01.2020;09:00;10:00;494;459;497;493;-;-
18.01.2020;10:00;11:00;460;440;489;429;-;-
18.01.2020;11:00;12:00;394;404;426;362;-;-
18.01.2020;12:00;13:00;422;412;453;391;-;-
18.01.2020;13:00;14:00;481;462;494;446;-;-
18.01.2020;14:00;15:00;480;457;492;443;-;-
18.01.2020;15:00;16:00;479;459;493;447;-;-
18.01.2020;16:00;17:00;480;469;495;449;-;-
18.01.2020;17:00;18:00;477;460;494;446;-;-
18.01.2020;18:00;19:00;496;458;496;495;-;-
18.01.2020;19:00;20:00;495;459;495;493;-;-
18.01.2020;20:00;21:00;496;460;496;495;-;-
18.01.2020;21:00;22:00;494;456;494;492;-;-
18.01.2020;22:00;23:00;496;458;497;495;-;-
18.01.2020;23:00;00:00;493;459;494;493;-;-
19.01.2020;00:00;01:00;485;451;485;471;-;-
19.01.2020;01:00;02:00;477;440;475;462;-;-
19.01.2020;02:00;03:00;492;457;490;487;-;-
19.01.2020;03:00;04:00;496;459;493;482;-;-
19.01.2020;04:00;05:00;452;433;482;420;-;-
19.01.2020;05:00;06:00;497;471;498;489;-;-
19.01.2020;06:00;07:00;498;474;499;493;-;-
19.01.2020;07:00;08:00;495;474;497;491;-;-
19.01.2020;08:00;09:00;491;472;493;488;-;-
19.01.2020;09:00;10:00;447;435;474;415;-;-
19.01.2020;10:00;11:00;354;411;363;345;-;-
19.01.2020;11:00;12:00;344;415;364;345;-;-
19.01.2020;12:00;13:00;346;416;362;345;-;-
19.01.2020;13:00;14:00;321;394;334;321;-;-
19.01.2020;14:00;15:00;346;413;360;341;-;-
19.01.2020;15:00;16:00;352;414;364;336;-;-
19.01.2020;16:00;17:00;352;416;361;345;-;-
19.01.2020;17:00;18:00;473;475;481;476;-;-
19.01.2020;18:00;19:00;478;478;481;478;-;-
19.01.2020;19:00;20:00;477;478;479;475;-;-
19.01.2020;20:00;21:00;477;478;479;477;-;-
19.01.2020;21:00;22:00;478;478;481;478;-;-
19.01.2020;22:00;23:00;477;476;480;477;-;-
19.01.2020;23:00;00:00;469;459;476;436;-;-
20.01.2020;00:00;01:00;460;452;486;443;-;-
20.01.2020;01:00;02:00;475;470;494;464;-;-
20.01.2020;02:00;03:00;474;477;494;491;-;-
20.01.2020;03:00;04:00;466;470;486;479;-;-
20.01.2020;04:00;05:00;474;474;492;467;-;-
20.01.2020;05:00;06:00;494;475;501;487;-;-
20.01.2020;06:00;07:00;495;471;498;492;-;-
20.01.2020;07:00;08:00;493;471;499;490;-;-
20.01.2020;08:00;09:00;497;473;502;493;-;-
20.01.2020;09:00;10:00;498;474;501;493;-;-
20.01.2020;10:00;11:00;493;471;498;489;-;-
20.01.2020;11:00;12:00;494;471;497;488;-;-
20.01.2020;12:00;13:00;494;474;499;488;-;-
20.01.2020;13:00;14:00;499;476;494;495;-;-
20.01.2020;14:00;15:00;501;473;492;495;-;-
20.01.2020;15:00;16:00;501;475;497;497;-;-
20.01.2020;16:00;17:00;502;477;496;493;-;-
20.01.2020;17:00;18:00;502;476;497;495;-;-
20.01.2020;18:00;19:00;502;477;496;497;-;-
20.01.2020;19:00;20:00;502;475;495;495;-;-
