Datum;Anfang;Ende;Generation_DE Heizkraftwerk Wedel Block 2 [MW] Originalauflösungen;Generation_DE Heizkraftwerk Wedel Block 1 [MW] Originalauflösungen;Generation_DE GTKW Wedel [MW] Originalauflösungen
25.01.2023;09:00;10:00;92;95;-
25.01.2023;10:00;11:00;92;95;-
25.01.2023;11:00;12:00;91;95;-
25.01.2023;12:00;13:00;90;94;-
25.01.2023;13:00;14:00;90;91;-
25.01.2023;14:00;15:00;90;92;-
25.01.2023;15:00;16:00;90;92;-
25.01.2023;16:00;17:00;90;91;-
25.01.2023;17:00;18:00;91;93;-
25.01.2023;18:00;19:00;91;92;-
25.01.2023;19:00;20:00;90;91;-
25.01.2023;20:00;21:00;90;92;-
25.01.2023;21:00;22:00;91;93;-
25.01.2023;22:00;23:00;91;92;-
25.01.2023;23:00;00:00;92;94;-
26.01.2023;00:00;01:00;92;93;-
26.01.2023;01:00;02:00;91;91;-
26.01.2023;02:00;03:00;92;92;-
26.01.2023;03:00;04:00;92;91;-
26.01.2023;04:00;05:00;89;89;-
26.01.2023;05:00;06:00;89;91;-
26.01.2023;06:00;07:00;89;90;-
26.01.2023;07:00;08:00;90;90;-
26.01.2023;08:00;09:00;89;92;-
26.01.2023;09:00;10:00;88;94;-
26.01.2023;10:00;11:00;90;93;-
26.01.2023;11:00;12:00;88;92;-
26.01.2023;12:00;13:00;90;93;-
26.01.2023;13:00;14:00;90;91;-
26.01.2023;14:00;15:00;84;93;-
26.01.2023;15:00;16:00;83;93;-
26.01.2023;16:00;17:00;92;92;-
26.01.2023;17:00;18:00;93;94;-
26.01.2023;18:00;19:00;95;94;-
26.01.2023;19:00;20:00;93;96;-
26.01.2023;20:00;21:00;95;94;-
26.01.2023;21:00;22:00;94;96;-
26.01.2023;22:00;23:00;95;97;-
26.01.2023;23:00;00:00;95;96;-
27.01.2023;00:00;01:00;94;98;-
27.01.2023;01:00;02:00;95;96;-
27.01.2023;02:00;03:00;66;96;-
27.01.2023;03:00;04:00;50;70;-
27.01.2023;04:00;05:00;70;75;-
27.01.2023;05:00;06:00;96;95;-
27.01.2023;06:00;07:00;94;95;-
27.01.2023;07:00;08:00;95;94;-
27.01.2023;08:00;09:00;94;96;-
27.01.2023;09:00;10:00;93;95;-
