Datum;Anfang;Ende;Generation_DE HKW Reuter West Dampfturbine D [MW] Originalauflösungen;Generation_DE HKW Reuter West Dampfturbine E [MW] Originalauflösungen
15.04.2023;18:00;19:00;0;130
15.04.2023;19:00;20:00;0;130
15.04.2023;20:00;21:00;0;130
15.04.2023;21:00;22:00;0;130
15.04.2023;22:00;23:00;0;131
15.04.2023;23:00;00:00;0;128
16.04.2023;00:00;01:00;0;130
16.04.2023;01:00;02:00;0;129
16.04.2023;02:00;03:00;0;130
16.04.2023;03:00;04:00;0;131
16.04.2023;04:00;05:00;0;131
16.04.2023;05:00;06:00;0;131
16.04.2023;06:00;07:00;0;130
16.04.2023;07:00;08:00;0;128
16.04.2023;08:00;09:00;0;128
16.04.2023;09:00;10:00;0;127
16.04.2023;10:00;11:00;0;129
16.04.2023;11:00;12:00;0;130
16.04.2023;12:00;13:00;0;131
16.04.2023;13:00;14:00;0;130
16.04.2023;14:00;15:00;0;127
16.04.2023;15:00;16:00;0;130
16.04.2023;16:00;17:00;0;131
16.04.2023;17:00;18:00;0;131
16.04.2023;18:00;19:00;0;129
16.04.2023;19:00;20:00;0;129
16.04.2023;20:00;21:00;0;129
16.04.2023;21:00;22:00;0;131
16.04.2023;22:00;23:00;0;128
16.04.2023;23:00;00:00;0;130
17.04.2023;00:00;01:00;0;130
17.04.2023;01:00;02:00;0;127
17.04.2023;02:00;03:00;0;130
17.04.2023;03:00;04:00;0;130
17.04.2023;04:00;05:00;0;130
17.04.2023;05:00;06:00;0;130
17.04.2023;06:00;07:00;0;130
17.04.2023;07:00;08:00;0;130
17.04.2023;08:00;09:00;0;129
17.04.2023;09:00;10:00;0;120
17.04.2023;10:00;11:00;0;48
17.04.2023;11:00;12:00;0;32
17.04.2023;12:00;13:00;0;29
17.04.2023;13:00;14:00;0;32
17.04.2023;14:00;15:00;0;30
17.04.2023;15:00;16:00;0;31
17.04.2023;16:00;17:00;0;44
17.04.2023;17:00;18:00;0;128
17.04.2023;18:00;19:00;0;128
17.04.2023;19:00;20:00;0;128
17.04.2023;20:00;21:00;0;128
17.04.2023;21:00;22:00;0;128
17.04.2023;22:00;23:00;0;128
17.04.2023;23:00;00:00;0;128
18.04.2023;00:00;01:00;0;128
18.04.2023;01:00;02:00;0;128
18.04.2023;02:00;03:00;0;128
18.04.2023;03:00;04:00;0;130
18.04.2023;04:00;05:00;0;129
18.04.2023;05:00;06:00;0;129
18.04.2023;06:00;07:00;0;128
18.04.2023;07:00;08:00;0;131
18.04.2023;08:00;09:00;0;128
18.04.2023;09:00;10:00;0;91
18.04.2023;10:00;11:00;0;37
18.04.2023;11:00;12:00;0;32
18.04.2023;12:00;13:00;0;31
18.04.2023;13:00;14:00;0;30
18.04.2023;14:00;15:00;0;31
18.04.2023;15:00;16:00;0;46
18.04.2023;16:00;17:00;0;130
18.04.2023;17:00;18:00;0;129
18.04.2023;18:00;19:00;0;129
18.04.2023;19:00;20:00;0;128
18.04.2023;20:00;21:00;0;127
18.04.2023;21:00;22:00;0;128
18.04.2023;22:00;23:00;0;128
18.04.2023;23:00;00:00;0;128
19.04.2023;00:00;01:00;0;128
19.04.2023;01:00;02:00;0;128
19.04.2023;02:00;03:00;0;128
19.04.2023;03:00;04:00;0;128
19.04.2023;04:00;05:00;0;128
19.04.2023;05:00;06:00;0;129
19.04.2023;06:00;07:00;0;130
19.04.2023;07:00;08:00;0;130
19.04.2023;08:00;09:00;0;129
19.04.2023;09:00;10:00;0;126
19.04.2023;10:00;11:00;0;34
19.04.2023;11:00;12:00;0;32
19.04.2023;12:00;13:00;0;31
19.04.2023;13:00;14:00;0;32
19.04.2023;14:00;15:00;0;32
19.04.2023;15:00;16:00;0;43
19.04.2023;16:00;17:00;0;131
19.04.2023;17:00;18:00;0;128
19.04.2023;18:00;19:00;0;126
19.04.2023;19:00;20:00;0;124
19.04.2023;20:00;21:00;0;124
19.04.2023;21:00;22:00;0;123
19.04.2023;22:00;23:00;0;123
19.04.2023;23:00;00:00;0;125
20.04.2023;00:00;01:00;0;124
20.04.2023;01:00;02:00;0;127
20.04.2023;02:00;03:00;0;125
20.04.2023;03:00;04:00;0;124
20.04.2023;04:00;05:00;0;125
20.04.2023;05:00;06:00;0;125
20.04.2023;06:00;07:00;0;124
20.04.2023;07:00;08:00;0;125
20.04.2023;08:00;09:00;0;124
20.04.2023;09:00;10:00;0;121
20.04.2023;10:00;11:00;0;58
20.04.2023;11:00;12:00;0;25
20.04.2023;12:00;13:00;0;24
20.04.2023;13:00;14:00;0;23
20.04.2023;14:00;15:00;0;25
20.04.2023;15:00;16:00;0;105
20.04.2023;16:00;17:00;0;124
20.04.2023;17:00;18:00;0;125
20.04.2023;18:00;19:00;0;125
20.04.2023;19:00;20:00;0;125
20.04.2023;20:00;21:00;0;125
20.04.2023;21:00;22:00;0;125
20.04.2023;22:00;23:00;0;125
20.04.2023;23:00;00:00;0;64
21.04.2023;00:00;01:00;0;124
21.04.2023;01:00;02:00;0;124
21.04.2023;02:00;03:00;0;124
21.04.2023;03:00;04:00;0;124
21.04.2023;04:00;05:00;0;125
21.04.2023;05:00;06:00;0;125
21.04.2023;06:00;07:00;0;125
21.04.2023;07:00;08:00;0;125
21.04.2023;08:00;09:00;0;125
21.04.2023;09:00;10:00;0;125
21.04.2023;10:00;11:00;0;125
21.04.2023;11:00;12:00;0;125
21.04.2023;12:00;13:00;0;124
