Datum;Anfang;Ende;Generation_DE Heizkraftwerk West Block 1 [MW] Originalauflösungen;Generation_DE Heizkraftwerk West Block 2 [MW] Originalauflösungen
29.01.2023;12:00;13:00;56;59
29.01.2023;13:00;14:00;54;54
29.01.2023;14:00;15:00;53;53
29.01.2023;15:00;16:00;55;55
29.01.2023;16:00;17:00;64;65
29.01.2023;17:00;18:00;69;73
29.01.2023;18:00;19:00;74;74
29.01.2023;19:00;20:00;60;65
29.01.2023;20:00;21:00;61;65
29.01.2023;21:00;22:00;60;65
29.01.2023;22:00;23:00;60;65
29.01.2023;23:00;00:00;60;65
30.01.2023;00:00;01:00;71;68
30.01.2023;01:00;02:00;78;56
30.01.2023;02:00;03:00;69;43
30.01.2023;03:00;04:00;46;46
30.01.2023;04:00;05:00;37;57
30.01.2023;05:00;06:00;37;58
30.01.2023;06:00;07:00;53;64
30.01.2023;07:00;08:00;83;84
30.01.2023;08:00;09:00;88;88
30.01.2023;09:00;10:00;103;79
30.01.2023;10:00;11:00;123;86
30.01.2023;11:00;12:00;111;79
30.01.2023;12:00;13:00;101;79
30.01.2023;13:00;14:00;84;86
30.01.2023;14:00;15:00;83;87
30.01.2023;15:00;16:00;115;87
30.01.2023;16:00;17:00;104;87
30.01.2023;17:00;18:00;92;86
30.01.2023;18:00;19:00;86;74
