Datum;Anfang;Ende;Generation_DE D [MW] Originalauflösungen;Generation_DE C [MW] Originalauflösungen;Generation_DE E [MW] Originalauflösungen;Generation_DE Weisweiler G VGT [MW] Originalauflösungen;Generation_DE Weisweiler H VGT [MW] Originalauflösungen;Generation_DE Weisweiler F [MW] Originalauflösungen;Generation_DE Weisweiler G [MW] Originalauflösungen;Generation_DE Weisweiler H [MW] Originalauflösungen
16.01.2017;20:00;21:00;-;-;323;0;0;322;473;657
16.01.2017;21:00;22:00;-;-;320;0;0;324;475;658
16.01.2017;22:00;23:00;-;-;321;0;0;320;472;657
16.01.2017;23:00;00:00;-;-;322;0;0;324;474;659
17.01.2017;00:00;01:00;-;-;321;0;0;324;474;657
17.01.2017;01:00;02:00;-;-;321;0;0;323;591;658
17.01.2017;02:00;03:00;-;-;319;0;0;323;656;655
17.01.2017;03:00;04:00;-;-;320;0;0;325;659;657
17.01.2017;04:00;05:00;-;-;322;0;0;321;658;657
17.01.2017;05:00;06:00;-;-;321;0;0;325;656;658
17.01.2017;06:00;07:00;-;-;318;0;0;321;653;658
17.01.2017;07:00;08:00;-;-;322;0;0;325;650;659
17.01.2017;08:00;09:00;-;-;321;0;0;322;652;655
17.01.2017;09:00;10:00;-;-;323;0;0;322;652;655
17.01.2017;10:00;11:00;-;-;322;0;0;321;654;656
17.01.2017;11:00;12:00;-;-;319;0;0;323;654;657
17.01.2017;12:00;13:00;-;-;319;0;0;321;659;658
17.01.2017;13:00;14:00;-;-;321;0;0;322;658;657
17.01.2017;14:00;15:00;-;-;322;0;0;321;655;657
17.01.2017;15:00;16:00;-;-;320;0;0;322;652;656
17.01.2017;16:00;17:00;-;-;321;0;0;321;655;656
17.01.2017;17:00;18:00;-;-;319;0;0;322;654;657
17.01.2017;18:00;19:00;-;-;321;0;0;320;655;658
17.01.2017;19:00;20:00;-;-;322;0;0;322;658;657
17.01.2017;20:00;21:00;-;-;319;0;0;319;657;659
17.01.2017;21:00;22:00;-;-;319;0;0;324;657;657
17.01.2017;22:00;23:00;-;-;319;0;0;321;657;659
17.01.2017;23:00;00:00;-;-;320;0;0;326;660;658
18.01.2017;00:00;01:00;-;-;319;0;0;322;500;657
18.01.2017;01:00;02:00;-;-;321;0;0;322;546;658
18.01.2017;02:00;03:00;-;-;320;0;0;325;648;660
18.01.2017;03:00;04:00;-;-;322;0;0;322;657;659
18.01.2017;04:00;05:00;-;-;324;0;0;325;658;659
18.01.2017;05:00;06:00;-;-;319;0;0;324;656;658
18.01.2017;06:00;07:00;-;-;321;0;0;321;652;659
18.01.2017;07:00;08:00;-;-;322;0;0;320;652;659
18.01.2017;08:00;09:00;-;-;324;0;0;324;654;659
