Datum;Anfang;Ende;Generation_DE A [MW] Originalauflösungen;Generation_DE B [MW] Originalauflösungen;Generation_DE Neurath C [MW] Originalauflösungen;Generation_DE Neurath D [MW] Originalauflösungen;Generation_DE Neurath E [MW] Originalauflösungen;Generation_DE Neurath F [MW] Originalauflösungen;Generation_DE Neurath G [MW] Originalauflösungen
11.01.2023;09:00;10:00;-;-;289;554;534;1.029;1.041
11.01.2023;10:00;11:00;-;-;289;554;534;1.034;1.045
11.01.2023;11:00;12:00;-;-;289;555;534;1.033;1.045
11.01.2023;12:00;13:00;-;-;289;554;534;1.039;1.049
11.01.2023;13:00;14:00;-;-;289;554;534;1.036;1.046
11.01.2023;14:00;15:00;-;-;289;555;534;1.034;1.050
11.01.2023;15:00;16:00;-;-;289;554;535;1.035;1.047
11.01.2023;16:00;17:00;-;-;289;554;534;1.033;1.034
11.01.2023;17:00;18:00;-;-;289;554;535;1.035;1.036
11.01.2023;18:00;19:00;-;-;289;555;536;1.036;1.027
11.01.2023;19:00;20:00;-;-;193;556;536;1.033;1.030
11.01.2023;20:00;21:00;-;-;0;555;437;1.039;1.032
11.01.2023;21:00;22:00;-;-;0;410;274;921;541
11.01.2023;22:00;23:00;-;-;0;0;271;740;0
11.01.2023;23:00;00:00;-;-;0;0;272;477;0
12.01.2023;00:00;01:00;-;-;0;0;272;485;0
12.01.2023;01:00;02:00;-;-;0;0;273;482;33
12.01.2023;02:00;03:00;-;-;0;0;275;483;476
12.01.2023;03:00;04:00;-;-;0;0;273;483;482
12.01.2023;04:00;05:00;-;-;0;0;273;482;481
12.01.2023;05:00;06:00;-;-;0;0;271;485;487
12.01.2023;06:00;07:00;-;-;0;0;272;611;612
12.01.2023;07:00;08:00;-;-;0;0;272;1.022;1.011
12.01.2023;08:00;09:00;-;-;0;0;272;1.035;1.026
12.01.2023;09:00;10:00;-;-;0;0;272;974;729
12.01.2023;10:00;11:00;-;-;0;0;270;932;526
12.01.2023;11:00;12:00;-;-;0;0;271;935;529
12.01.2023;12:00;13:00;-;-;0;0;271;933;529
12.01.2023;13:00;14:00;-;-;0;0;272;935;529
12.01.2023;14:00;15:00;-;-;0;0;291;996;705
12.01.2023;15:00;16:00;-;-;0;0;516;1.037;1.031
12.01.2023;16:00;17:00;-;-;0;0;531;1.032;1.031
12.01.2023;17:00;18:00;-;-;0;0;529;1.039;1.031
12.01.2023;18:00;19:00;-;-;0;0;531;1.036;1.030
12.01.2023;19:00;20:00;-;-;0;0;527;1.042;1.026
12.01.2023;20:00;21:00;-;-;0;0;354;1.029;1.021
12.01.2023;21:00;22:00;-;-;0;0;269;688;988
12.01.2023;22:00;23:00;-;-;0;0;275;479;573
12.01.2023;23:00;00:00;-;-;0;0;283;480;0
13.01.2023;00:00;01:00;-;-;0;0;283;477;0
13.01.2023;01:00;02:00;-;-;0;0;283;483;0
13.01.2023;02:00;03:00;-;-;0;0;283;481;0
13.01.2023;03:00;04:00;-;-;0;0;283;481;0
13.01.2023;04:00;05:00;-;-;0;0;283;481;0
13.01.2023;05:00;06:00;-;-;0;0;283;484;0
13.01.2023;06:00;07:00;-;-;0;0;285;638;0
13.01.2023;07:00;08:00;-;-;0;0;284;941;0
13.01.2023;08:00;09:00;-;-;0;0;284;1.033;0
13.01.2023;09:00;10:00;-;-;0;0;286;1.033;0
13.01.2023;10:00;11:00;-;-;0;0;285;1.041;0
13.01.2023;11:00;12:00;-;-;0;0;284;999;0
13.01.2023;12:00;13:00;-;-;0;0;284;585;0
13.01.2023;13:00;14:00;-;-;0;0;285;482;0
13.01.2023;14:00;15:00;-;-;0;0;284;593;0
13.01.2023;15:00;16:00;-;-;0;0;285;985;0
13.01.2023;16:00;17:00;-;-;0;0;285;1.043;0
13.01.2023;17:00;18:00;-;-;0;0;284;1.037;0
13.01.2023;18:00;19:00;-;-;0;0;285;1.033;0
13.01.2023;19:00;20:00;-;-;0;0;286;1.037;0
13.01.2023;20:00;21:00;-;-;0;0;290;1.026;0
13.01.2023;21:00;22:00;-;-;0;0;284;1.039;0
13.01.2023;22:00;23:00;-;-;0;0;284;1.037;0
13.01.2023;23:00;00:00;-;-;0;0;288;829;0
14.01.2023;00:00;01:00;-;-;0;0;285;521;0
14.01.2023;01:00;02:00;-;-;0;0;285;481;0
14.01.2023;02:00;03:00;-;-;0;0;286;483;0
14.01.2023;03:00;04:00;-;-;0;0;285;482;0
14.01.2023;04:00;05:00;-;-;0;0;286;555;0
14.01.2023;05:00;06:00;-;-;0;0;285;596;0
14.01.2023;06:00;07:00;-;-;0;0;285;698;0
14.01.2023;07:00;08:00;-;-;0;0;286;745;0
14.01.2023;08:00;09:00;-;-;0;0;286;746;0
14.01.2023;09:00;10:00;-;-;0;0;285;747;0
14.01.2023;10:00;11:00;-;-;0;0;285;746;0
14.01.2023;11:00;12:00;-;-;0;0;285;745;0
14.01.2023;12:00;13:00;-;-;0;0;284;746;0
14.01.2023;13:00;14:00;-;-;0;0;284;739;0
14.01.2023;14:00;15:00;-;-;0;0;283;508;0
14.01.2023;15:00;16:00;-;-;0;0;283;481;0
14.01.2023;16:00;17:00;-;-;0;0;283;484;0
14.01.2023;17:00;18:00;-;-;0;0;283;481;0
14.01.2023;18:00;19:00;-;-;0;0;283;481;0
14.01.2023;19:00;20:00;-;-;0;0;283;485;0
14.01.2023;20:00;21:00;-;-;0;0;283;481;0
14.01.2023;21:00;22:00;-;-;0;0;285;481;0
14.01.2023;22:00;23:00;-;-;0;0;283;484;0
