Date;Start;End;Generation_DE Kraftwerk Jänschwalde Block A [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block B [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block C [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block D [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block E [MW] Original resolutions;Generation_DE Kraftwerk Jänschwalde Block F [MW] Original resolutions
19.01.2021;15:00;16:00;393;401;390;420;-;-
19.01.2021;16:00;17:00;478;424;462;483;-;-
19.01.2021;17:00;18:00;482;418;461;488;-;-
19.01.2021;18:00;19:00;481;416;460;480;-;-
19.01.2021;19:00;20:00;474;403;461;477;-;-
19.01.2021;20:00;21:00;468;409;458;478;-;-
19.01.2021;21:00;22:00;440;401;454;468;-;-
19.01.2021;22:00;23:00;445;383;432;458;-;-
19.01.2021;23:00;00:00;338;389;358;357;-;-
20.01.2021;00:00;01:00;297;338;314;320;-;-
20.01.2021;01:00;02:00;299;337;321;321;-;-
20.01.2021;02:00;03:00;299;339;327;322;-;-
20.01.2021;03:00;04:00;300;349;317;320;-;-
20.01.2021;04:00;05:00;316;351;333;323;-;-
20.01.2021;05:00;06:00;328;351;341;335;-;-
20.01.2021;06:00;07:00;409;366;418;391;-;-
20.01.2021;07:00;08:00;439;372;453;445;-;-
20.01.2021;08:00;09:00;472;377;446;464;-;-
20.01.2021;09:00;10:00;398;379;432;430;-;-
20.01.2021;10:00;11:00;413;369;462;466;-;-
20.01.2021;11:00;12:00;394;382;450;452;-;-
20.01.2021;12:00;13:00;395;398;454;462;-;-
20.01.2021;13:00;14:00;407;401;456;469;-;-
20.01.2021;14:00;15:00;393;403;444;440;-;-
20.01.2021;15:00;16:00;355;355;389;428;-;-
20.01.2021;16:00;17:00;386;404;436;434;-;-
20.01.2021;17:00;18:00;340;401;384;401;-;-
20.01.2021;18:00;19:00;426;406;409;459;-;-
20.01.2021;19:00;20:00;387;383;400;420;-;-
20.01.2021;20:00;21:00;327;373;356;386;-;-
20.01.2021;21:00;22:00;295;359;304;336;-;-
20.01.2021;22:00;23:00;298;360;190;321;-;-
