Date;Start;End;Generation_DE PSW Markersbach PSS B [MW] Original resolutions;Generation_DE PSW Markersbach PSS A [MW] Original resolutions;Generation_DE PSW Markersbach PSS C [MW] Original resolutions;Generation_DE PSW Markersbach PSS D [MW] Original resolutions;Generation_DE PSW Markersbach PSS E [MW] Original resolutions;Generation_DE PSW Markersbach PSS F [MW] Original resolutions
11.01.2016;18:00;19:00;146;0;146;147;0;0
11.01.2016;19:00;20:00;30;0;2;0;0;0
11.01.2016;20:00;21:00;0;0;0;0;0;0
11.01.2016;21:00;22:00;1;0;0;0;0;0
11.01.2016;22:00;23:00;20;0;0;69;0;0
11.01.2016;23:00;00:00;0;0;0;0;0;0
12.01.2016;00:00;01:00;0;0;0;0;0;0
12.01.2016;01:00;02:00;0;0;0;0;0;0
12.01.2016;02:00;03:00;0;0;0;0;0;0
12.01.2016;03:00;04:00;0;0;0;0;0;0
12.01.2016;04:00;05:00;0;0;0;0;0;0
12.01.2016;05:00;06:00;0;0;0;0;0;0
12.01.2016;06:00;07:00;8;0;0;0;0;0
12.01.2016;07:00;08:00;0;127;0;0;120;0
12.01.2016;08:00;09:00;0;160;160;0;158;0
12.01.2016;09:00;10:00;0;116;148;83;121;0
12.01.2016;10:00;11:00;0;28;105;0;28;0
12.01.2016;11:00;12:00;110;69;123;0;121;0
12.01.2016;12:00;13:00;0;0;1;0;0;0
12.01.2016;13:00;14:00;0;0;0;0;0;0
12.01.2016;14:00;15:00;0;0;0;116;116;0
12.01.2016;15:00;16:00;0;0;0;1;75;0
12.01.2016;16:00;17:00;0;0;0;0;0;0
12.01.2016;17:00;18:00;117;157;155;150;157;0
12.01.2016;18:00;19:00;112;111;112;11;111;0
12.01.2016;19:00;20:00;0;131;131;0;131;0
12.01.2016;20:00;21:00;0;0;133;0;0;0
12.01.2016;21:00;22:00;0;0;98;0;0;0
12.01.2016;22:00;23:00;0;0;1;0;0;0
12.01.2016;23:00;00:00;0;0;0;0;0;0
13.01.2016;00:00;01:00;0;0;0;0;0;0
13.01.2016;01:00;02:00;0;0;0;0;0;0
13.01.2016;02:00;03:00;0;0;0;0;0;0
13.01.2016;03:00;04:00;0;0;0;0;0;0
13.01.2016;04:00;05:00;0;0;0;0;0;0
13.01.2016;05:00;06:00;0;0;0;0;0;0
13.01.2016;06:00;07:00;0;69;0;0;0;0
13.01.2016;07:00;08:00;0;17;0;0;73;0
13.01.2016;08:00;09:00;0;2;0;0;0;0
13.01.2016;09:00;10:00;0;0;0;0;0;0
13.01.2016;10:00;11:00;0;0;0;0;0;0
13.01.2016;11:00;12:00;0;0;0;0;0;0
13.01.2016;12:00;13:00;0;0;0;0;0;0
13.01.2016;13:00;14:00;0;0;0;0;0;0
13.01.2016;14:00;15:00;0;0;0;0;0;0
13.01.2016;15:00;16:00;0;53;0;0;0;0
13.01.2016;16:00;17:00;0;100;0;0;0;0
13.01.2016;17:00;18:00;132;135;0;124;132;0
13.01.2016;18:00;19:00;140;141;0;141;141;0
13.01.2016;19:00;20:00;0;1;0;0;142;0
13.01.2016;20:00;21:00;0;50;0;0;2;0
13.01.2016;21:00;22:00;0;95;0;0;0;0
13.01.2016;22:00;23:00;0;0;0;0;0;0
13.01.2016;23:00;00:00;0;0;0;0;0;0
14.01.2016;00:00;01:00;0;0;0;0;0;0
14.01.2016;01:00;02:00;0;0;0;0;0;0
14.01.2016;02:00;03:00;0;0;0;0;0;0
14.01.2016;03:00;04:00;0;0;0;0;0;0
14.01.2016;04:00;05:00;0;0;0;0;0;0
14.01.2016;05:00;06:00;0;0;0;0;0;0
14.01.2016;06:00;07:00;0;1;0;0;1;0
14.01.2016;07:00;08:00;108;110;0;0;109;0
14.01.2016;08:00;09:00;120;120;17;115;120;0
14.01.2016;09:00;10:00;93;92;93;52;1;0
14.01.2016;10:00;11:00;95;95;95;0;0;0
14.01.2016;11:00;12:00;0;3;0;0;0;0
14.01.2016;12:00;13:00;0;0;0;0;0;0
14.01.2016;13:00;14:00;0;34;0;0;0;0
14.01.2016;14:00;15:00;8;0;0;0;0;0
14.01.2016;15:00;16:00;10;43;0;0;0;0
14.01.2016;16:00;17:00;148;151;146;0;0;0
14.01.2016;17:00;18:00;117;116;117;0;0;0
14.01.2016;18:00;19:00;122;122;122;0;0;0
14.01.2016;19:00;20:00;0;0;88;0;0;0
14.01.2016;20:00;21:00;0;0;79;0;0;0
14.01.2016;21:00;22:00;0;0;45;0;0;0
14.01.2016;22:00;23:00;0;0;1;0;0;0
14.01.2016;23:00;00:00;0;0;0;0;0;0
15.01.2016;00:00;01:00;0;0;0;0;0;0
15.01.2016;01:00;02:00;0;0;0;0;0;0
15.01.2016;02:00;03:00;0;0;0;0;0;0
15.01.2016;03:00;04:00;0;0;0;0;0;0
15.01.2016;04:00;05:00;0;0;0;0;0;0
15.01.2016;05:00;06:00;0;0;0;0;1;0
15.01.2016;06:00;07:00;0;0;1;0;62;0
15.01.2016;07:00;08:00;73;2;164;27;164;0
15.01.2016;08:00;09:00;128;120;128;129;127;0
15.01.2016;09:00;10:00;137;109;137;2;136;0
15.01.2016;10:00;11:00;120;0;120;20;119;0
15.01.2016;11:00;12:00;61;0;117;0;116;0
15.01.2016;12:00;13:00;61;0;116;0;115;0
15.01.2016;13:00;14:00;0;0;107;0;2;0
15.01.2016;14:00;15:00;0;0;136;0;0;0
15.01.2016;15:00;16:00;0;87;43;0;0;0
15.01.2016;16:00;17:00;0;100;3;0;74;0
15.01.2016;17:00;18:00;0;80;129;94;129;0
15.01.2016;18:00;19:00;0;0;15;0;100;0
15.01.2016;19:00;20:00;0;0;0;0;108;0
15.01.2016;20:00;21:00;0;0;0;0;27;0
15.01.2016;21:00;22:00;0;0;75;0;0;0
15.01.2016;22:00;23:00;0;0;0;0;0;0
15.01.2016;23:00;00:00;0;0;64;0;63;0
16.01.2016;00:00;01:00;0;0;0;0;0;0
16.01.2016;01:00;02:00;0;0;0;0;0;0
16.01.2016;02:00;03:00;0;0;0;0;0;0
16.01.2016;03:00;04:00;0;0;0;0;0;0
16.01.2016;04:00;05:00;0;0;0;0;0;0
16.01.2016;05:00;06:00;0;0;0;0;0;0
16.01.2016;06:00;07:00;0;0;1;0;0;0
16.01.2016;07:00;08:00;0;0;66;0;0;0
16.01.2016;08:00;09:00;0;0;0;0;0;0
16.01.2016;09:00;10:00;0;0;121;0;112;0
16.01.2016;10:00;11:00;0;0;128;0;127;0
16.01.2016;11:00;12:00;0;0;41;0;43;0
16.01.2016;12:00;13:00;0;0;112;0;66;0
16.01.2016;13:00;14:00;0;0;4;0;0;0
16.01.2016;14:00;15:00;0;0;0;0;0;0
16.01.2016;15:00;16:00;0;0;0;0;0;0
16.01.2016;16:00;17:00;0;0;2;0;0;0
16.01.2016;17:00;18:00;0;0;103;0;74;0
16.01.2016;18:00;19:00;0;148;151;0;152;0
16.01.2016;19:00;20:00;0;0;100;0;1;0
16.01.2016;20:00;21:00;0;0;0;0;0;0
16.01.2016;21:00;22:00;0;0;0;0;0;0
16.01.2016;22:00;23:00;0;0;2;0;0;0
16.01.2016;23:00;00:00;0;0;82;0;0;0
17.01.2016;00:00;01:00;0;0;18;0;0;0
17.01.2016;01:00;02:00;0;0;0;0;0;0
17.01.2016;02:00;03:00;0;0;0;0;0;0
17.01.2016;03:00;04:00;0;0;0;0;0;0
17.01.2016;04:00;05:00;0;0;0;0;0;0
17.01.2016;05:00;06:00;0;0;0;0;0;0
17.01.2016;06:00;07:00;0;0;0;0;0;0
17.01.2016;07:00;08:00;0;0;0;0;0;0
17.01.2016;08:00;09:00;0;0;0;0;0;0
17.01.2016;09:00;10:00;0;0;0;0;0;0
17.01.2016;10:00;11:00;0;0;0;0;0;0
17.01.2016;11:00;12:00;0;0;0;0;0;0
17.01.2016;12:00;13:00;0;0;35;0;0;0
17.01.2016;13:00;14:00;0;0;0;0;0;0
17.01.2016;14:00;15:00;0;0;0;0;0;0
17.01.2016;15:00;16:00;0;0;0;0;0;0
17.01.2016;16:00;17:00;0;0;26;0;0;0
17.01.2016;17:00;18:00;0;173;173;174;80;0
17.01.2016;18:00;19:00;73;118;162;162;161;0
17.01.2016;19:00;20:00;136;0;136;136;37;0
17.01.2016;20:00;21:00;0;0;2;3;0;0
17.01.2016;21:00;22:00;0;0;0;0;0;0
17.01.2016;22:00;23:00;0;0;0;0;0;0
17.01.2016;23:00;00:00;0;0;0;0;0;0
18.01.2016;00:00;01:00;0;0;0;0;0;0
18.01.2016;01:00;02:00;0;0;0;0;0;0
18.01.2016;02:00;03:00;0;0;0;0;0;0
18.01.2016;03:00;04:00;0;0;0;0;0;0
18.01.2016;04:00;05:00;0;0;0;1;0;0
18.01.2016;05:00;06:00;0;0;0;53;0;0
18.01.2016;06:00;07:00;0;0;1;82;0;0
18.01.2016;07:00;08:00;31;37;117;118;38;0
18.01.2016;08:00;09:00;155;155;155;156;8;0
18.01.2016;09:00;10:00;150;2;150;151;83;0
18.01.2016;10:00;11:00;157;0;157;157;156;0
18.01.2016;11:00;12:00;32;0;96;37;27;0
18.01.2016;12:00;13:00;0;0;0;0;0;0
18.01.2016;13:00;14:00;0;0;0;0;0;0
18.01.2016;14:00;15:00;0;0;0;72;0;0
18.01.2016;15:00;16:00;0;0;0;61;0;0
18.01.2016;16:00;17:00;0;0;31;34;12;0
18.01.2016;17:00;18:00;0;86;127;128;58;0
18.01.2016;18:00;19:00;20;136;139;139;124;0
18.01.2016;19:00;20:00;0;0;9;1;0;0
18.01.2016;20:00;21:00;0;0;0;0;0;0
18.01.2016;21:00;22:00;0;0;0;0;0;0
18.01.2016;22:00;23:00;0;0;0;40;0;0
18.01.2016;23:00;00:00;0;0;0;3;0;0
19.01.2016;00:00;01:00;0;0;0;0;0;0
19.01.2016;01:00;02:00;0;0;0;0;0;0
19.01.2016;02:00;03:00;0;0;0;0;0;0
19.01.2016;03:00;04:00;0;0;0;0;0;0
19.01.2016;04:00;05:00;0;0;0;0;0;0
19.01.2016;05:00;06:00;0;0;0;1;0;0
19.01.2016;06:00;07:00;0;0;0;66;0;0
19.01.2016;07:00;08:00;0;2;29;151;3;0
19.01.2016;08:00;09:00;154;153;154;154;82;0
19.01.2016;09:00;10:00;0;0;0;1;0;0
19.01.2016;10:00;11:00;0;0;0;0;0;0
19.01.2016;11:00;12:00;0;0;1;0;1;0
19.01.2016;12:00;13:00;0;0;147;0;147;0
19.01.2016;13:00;14:00;0;133;150;0;42;0
19.01.2016;14:00;15:00;82;125;153;0;62;0
19.01.2016;15:00;16:00;154;98;154;0;84;0
19.01.2016;16:00;17:00;109;108;109;0;0;0
19.01.2016;17:00;18:00;131;131;132;96;4;0
19.01.2016;18:00;19:00;102;102;102;102;0;0
19.01.2016;19:00;20:00;99;95;134;101;0;0
19.01.2016;20:00;21:00;0;0;0;0;0;0
19.01.2016;21:00;22:00;0;0;0;0;0;0
19.01.2016;22:00;23:00;0;0;68;0;0;0
19.01.2016;23:00;00:00;0;0;0;0;0;0
20.01.2016;00:00;01:00;0;0;0;0;0;0
20.01.2016;01:00;02:00;0;0;0;0;0;0
20.01.2016;02:00;03:00;0;0;0;0;0;0
20.01.2016;03:00;04:00;0;0;0;0;0;0
20.01.2016;04:00;05:00;0;0;0;0;0;0
20.01.2016;05:00;06:00;0;0;0;0;0;0
20.01.2016;06:00;07:00;0;0;0;1;0;0
20.01.2016;07:00;08:00;0;0;98;99;37;0
20.01.2016;08:00;09:00;0;130;160;161;160;0
20.01.2016;09:00;10:00;0;136;136;137;107;0
20.01.2016;10:00;11:00;0;162;162;162;62;0
20.01.2016;11:00;12:00;0;130;130;130;27;0
20.01.2016;12:00;13:00;0;0;45;0;0;0
20.01.2016;13:00;14:00;0;0;0;90;0;0
20.01.2016;14:00;15:00;0;0;0;71;0;0
20.01.2016;15:00;16:00;0;0;0;81;0;0
20.01.2016;16:00;17:00;0;0;13;27;3;0
20.01.2016;17:00;18:00;81;146;154;155;154;0
20.01.2016;18:00;19:00;144;144;144;145;22;0
20.01.2016;19:00;20:00;54;2;112;112;0;0
20.01.2016;20:00;21:00;0;0;1;23;0;0
20.01.2016;21:00;22:00;0;0;0;0;0;0
20.01.2016;22:00;23:00;0;0;0;0;0;0
20.01.2016;23:00;00:00;0;0;0;0;0;0
21.01.2016;00:00;01:00;0;0;0;0;0;0
21.01.2016;01:00;02:00;0;0;0;0;0;0
21.01.2016;02:00;03:00;0;0;0;0;0;0
21.01.2016;03:00;04:00;0;0;0;0;0;0
