Datum;Anfang;Ende;Generation_DE Vianden M6 [MW] Originalauflösungen;Generation_DE Vianden M7 [MW] Originalauflösungen;Generation_DE Vianden M8 [MW] Originalauflösungen;Generation_DE Vianden M9 [MW] Originalauflösungen;Generation_DE Vianden M1 [MW] Originalauflösungen;Generation_DE Vianden M2 [MW] Originalauflösungen;Generation_DE Vianden M3 [MW] Originalauflösungen;Generation_DE Vianden M4 [MW] Originalauflösungen;Generation_DE Vianden M10 [MW] Originalauflösungen;Generation_DE Vianden M5 [MW] Originalauflösungen;Generation_DE Vianden M11 [MW] Originalauflösungen
11.01.2023;16:00;17:00;0;0;0;0;15;0;0;0;0;0;1
11.01.2023;17:00;18:00;0;1;0;0;68;0;0;30;0;1;2
11.01.2023;18:00;19:00;0;55;44;0;70;0;0;44;0;55;139
11.01.2023;19:00;20:00;0;21;19;0;49;0;0;60;0;21;3
11.01.2023;20:00;21:00;0;0;0;0;25;0;0;21;0;0;1
11.01.2023;21:00;22:00;0;0;0;0;36;28;0;0;0;0;1
11.01.2023;22:00;23:00;0;0;0;0;53;53;51;0;0;0;1
11.01.2023;23:00;00:00;0;0;0;0;51;51;53;0;0;0;0
12.01.2023;00:00;01:00;0;0;0;0;36;35;37;0;0;0;0
12.01.2023;01:00;02:00;0;0;0;0;0;11;0;0;0;0;0
12.01.2023;02:00;03:00;0;0;0;0;0;0;0;0;0;0;0
12.01.2023;03:00;04:00;0;0;0;0;0;6;0;0;0;0;0
12.01.2023;04:00;05:00;0;0;0;0;0;12;0;0;0;0;1
12.01.2023;05:00;06:00;0;0;0;0;0;12;0;0;0;0;1
12.01.2023;06:00;07:00;0;0;0;0;30;28;31;0;0;0;1
12.01.2023;07:00;08:00;30;33;32;32;49;60;56;0;79;30;118
12.01.2023;08:00;09:00;23;24;12;12;42;42;40;0;0;44;51
12.01.2023;09:00;10:00;0;0;0;0;8;27;0;0;0;0;1
12.01.2023;10:00;11:00;0;0;0;0;0;21;0;0;0;0;1
12.01.2023;11:00;12:00;0;0;0;0;0;30;0;0;0;0;1
12.01.2023;12:00;13:00;0;0;0;0;0;48;0;0;0;0;1
12.01.2023;13:00;14:00;0;0;0;0;0;14;0;0;0;0;1
12.01.2023;14:00;15:00;0;0;0;0;0;22;0;0;0;0;1
12.01.2023;15:00;16:00;0;0;0;0;0;15;0;0;0;0;1
12.01.2023;16:00;17:00;0;1;0;0;1;38;0;1;0;2;5
12.01.2023;17:00;18:00;0;69;66;0;69;15;0;55;145;69;153
12.01.2023;18:00;19:00;0;90;91;0;69;15;0;70;169;89;171
12.01.2023;19:00;20:00;0;69;67;0;69;16;0;66;88;69;136
12.01.2023;20:00;21:00;0;11;2;0;47;4;0;12;0;20;1
12.01.2023;21:00;22:00;0;0;0;0;10;0;0;0;0;0;1
12.01.2023;22:00;23:00;0;0;0;0;0;0;0;0;0;0;1
12.01.2023;23:00;00:00;0;0;0;0;29;23;0;0;0;0;1
13.01.2023;00:00;01:00;0;0;0;0;0;17;0;0;0;0;0
13.01.2023;01:00;02:00;0;0;0;0;0;16;0;0;0;0;1
13.01.2023;02:00;03:00;0;0;0;0;0;15;0;0;0;0;0
13.01.2023;03:00;04:00;0;0;0;0;0;1;0;0;0;0;0
13.01.2023;04:00;05:00;0;0;0;0;0;0;2;0;0;0;0
13.01.2023;05:00;06:00;0;0;0;0;0;0;0;0;0;14;1
13.01.2023;06:00;07:00;0;11;0;0;12;12;0;12;0;17;23
13.01.2023;07:00;08:00;4;10;3;3;30;10;4;50;29;20;153
13.01.2023;08:00;09:00;93;94;94;91;90;82;67;101;188;87;197
13.01.2023;09:00;10:00;99;98;101;97;83;59;100;59;191;98;196
13.01.2023;10:00;11:00;11;18;19;30;53;34;34;19;42;14;44
13.01.2023;11:00;12:00;0;0;0;0;0;0;0;0;0;0;1
13.01.2023;12:00;13:00;0;0;0;0;0;0;0;0;0;0;1
13.01.2023;13:00;14:00;0;0;0;0;0;0;0;0;0;8;1
13.01.2023;14:00;15:00;0;0;0;0;0;0;0;0;0;15;1
13.01.2023;15:00;16:00;0;0;0;0;0;0;0;0;0;15;1
13.01.2023;16:00;17:00;0;2;0;0;0;0;0;0;0;3;1
13.01.2023;17:00;18:00;0;91;0;0;0;20;41;0;0;31;1
13.01.2023;18:00;19:00;0;40;0;0;88;69;70;46;0;42;1
13.01.2023;19:00;20:00;0;0;0;0;0;0;0;0;0;0;1
13.01.2023;20:00;21:00;0;0;0;0;0;0;0;0;0;0;1
13.01.2023;21:00;22:00;0;0;0;0;17;0;0;0;0;0;1
13.01.2023;22:00;23:00;0;0;0;0;0;0;0;0;0;14;1
13.01.2023;23:00;00:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;00:00;01:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;01:00;02:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;02:00;03:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;03:00;04:00;0;0;0;0;31;0;0;0;0;0;1
14.01.2023;04:00;05:00;0;0;0;0;43;0;0;0;0;0;1
14.01.2023;05:00;06:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;06:00;07:00;0;0;0;0;14;13;10;0;0;0;1
14.01.2023;07:00;08:00;0;0;0;0;18;13;14;0;0;0;1
14.01.2023;08:00;09:00;0;0;0;0;15;0;0;0;0;0;1
14.01.2023;09:00;10:00;0;18;58;0;15;0;0;0;23;18;158
14.01.2023;10:00;11:00;0;27;18;0;15;0;0;0;0;9;32
14.01.2023;11:00;12:00;0;0;0;0;15;0;0;0;0;3;1
14.01.2023;12:00;13:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;13:00;14:00;0;0;0;0;0;0;0;0;0;0;1
14.01.2023;14:00;15:00;0;0;0;0;8;0;0;0;0;0;1
14.01.2023;15:00;16:00;0;0;0;0;17;0;0;0;0;0;1
14.01.2023;16:00;17:00;0;0;0;0;25;0;0;0;0;0;1
14.01.2023;17:00;18:00;0;0;0;0;11;0;0;0;0;0;1
14.01.2023;18:00;19:00;0;0;0;0;90;0;0;0;0;0;1
14.01.2023;19:00;20:00;0;0;0;0;15;0;0;0;0;0;1
14.01.2023;20:00;21:00;0;0;0;0;21;0;0;0;0;0;0
14.01.2023;21:00;22:00;0;0;0;0;15;0;0;0;0;0;0
